ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC
00,Total nacional,000,Total nacional,0000,Total nacional,,,,126014024,64540634,61473390,5764054,2848875,2915179,119976584,61554567,58422017,115693273,59433559,56259714,100528155,51962264,48565891,93985354,48732991,45252363,87492680,45530857,41961823,6462212,3193548,3268664,12986217,6398755,6587462,15287375,7531118,7756257,6542801,3229273,3313528,6492674,3202134,3290540,14736111,7398617,7337494,33885546,15142976,8139094,7003882,95.25,31755284,83663440,10321914,2.09,102724322,52519974,50204348,21611963,11222300,10389663,111075594,57288776,53786818,3807844,1889986,1917858,7364645,3783447,3581198,865972,547528,318444,6423548,3198595,3224953,7177185,785361,6317027,11800247,  2576213,  1297617,  1278596,6179890,2939986,2691338,945162,1350802,1168098,1149257,13934448,4365234,8974853,864662,2900108,673540,2698640,1590583,104815785,2359716,1155636,1204080,577029,275189,301840,618233,283195,335038,4726359,2390407,2335952,4894125,2482980,2411145,412725,178152,234573,4456431,2677192,1779239,4841952,2791237,2050715,7731820,4042527,3689293,12325433,6515268,5810165,2913915,1297269,1616646,22833912,11857736,10976176,39977750,20408275,19569475,9.74,9.64,9.84,62281634,25465693,36815941,37891261,26379060,11512201,61121324,25137019,35984305,1160310,328674,831636,32999713,92582812,47245909,7165164,1041534,1192255,32842765,958787,2615213,1149542,34370381,54036478,12049313,97864218,14095307,248169,13314516,35219141,11474983,23744158,125514839,37418569,88096270,43903443,35233462,42300700,33630719,35156897,35219141,6155682,2514299,125514839,3.56,0.96,33833470,1235550,11186214,23887498,2085925,5460133,27527131,34805976,268863,33858339,29541708,1215497,22629812,9652823,33081729,1396774,33564054,1498766,32671764,79584,32979844,16874580,581095,30811260,25610544,16651199,16340788,4227460,7469168,23772973,32031555,13204680,13184550,30775898,18307193,15211306,6616141,4047100,1788552,3170894,15108204,852871,*
00,Total nacional,000,Total nacional,9998,Localidades de una vivienda,,,,250354,96869,153485,10493,5193,5300,239441,91463,147978,232086,87931,144155,207748,76111,131637,197411,71344,126067,186968,66514,120454,10900,5270,5630,20793,10082,10711,24342,11538,12804,10337,4767,5570,10443,4830,5613,27841,11140,16701,47693,37383,13442,23941,158.45,52523,171209,26202,*,177757,75977,101780,54046,18910,35136,184423,79893,104530,16172,6089,10083,26486,10908,15578,2712,1652,1060,22906,9203,13703,25743,2412,22464,27252,     4122,     1614,     2508,12126,5875,5008,1940,2895,2123,2179,28067,10653,17059,2092,6916,1625,5763,2823,207052,5620,2689,2931,2920,1403,1517,2699,1190,1509,4952,2386,2566,4157,1610,2547,2393,1080,1313,24331,10532,13799,28014,11278,16736,38545,13056,25489,38809,14762,24047,14833,3143,11690,40180,15578,24602,33907,11972,21935,6.5,6.51,6.5,128289,33067,95222,68766,42827,25939,127469,32906,94563,820,161,659,86676,153663,53559,3795,552,649,84849,2883,3288,6284,63913,124916,18433,187464,29725,1117,29624,62516,8292,54224,198544,28805,169739,101390,62767,99591,60968,62091,62516,18117,20506,198544,3.18,1.03,53169,8797,30115,31851,7333,16206,38424,48426,13538,45470,8198,16498,34143,13743,44688,9825,47253,14708,35091,4842,43668,24373,5136,38199,26412,13608,30940,15001,13600,36738,40001,5797,3523,47005,8385,18981,1732,1113,12775,14143,51293,7154,*
00,Total nacional,000,Total nacional,9999,Localidades de dos viviendas,,,,147125,61324,85801,6798,3407,3391,139757,57628,82129,135028,55256,79772,119223,47543,71680,111530,44275,67255,104612,41184,63428,7028,3511,3517,13506,6574,6932,16724,7679,9045,7693,3268,4425,6918,3091,3827,16336,6760,9576,29297,21277,8916,12361,139.91,35025,96250,15280,*,117805,52686,65119,20274,7205,13069,114178,52604,61574,6214,1664,4550,18640,8181,10459,3098,1901,1197,14758,6205,8553,17992,2742,14467,21531,     2816,     1056,     1760,8058,4079,3590,1664,2295,1808,1825,16685,6309,10523,1279,3982,1085,3479,1579,120888,3783,1873,1910,1782,874,908,1674,766,908,3557,1509,2048,2738,1053,1685,1527,712,815,15092,7074,8018,17660,7476,10184,21620,8064,13556,22033,9009,13024,5040,1561,3479,24056,9485,14571,19102,7672,11430,6.45,6.48,6.43,68904,18475,50429,46162,28959,17203,68215,18365,49850,689,110,579,56232,90057,23569,2312,350,485,59445,1956,1300,1504,38355,68874,10660,112351,16630,675,16432,36568,6620,29948,125099,21860,103239,61435,36676,60317,35558,36359,36568,12225,12534,125099,3.42,1.03,29302,6891,17038,19157,4351,9491,22351,28586,7607,26499,5054,9696,18089,7029,24348,6050,26036,10155,19807,2935,23841,16122,4115,21775,15880,7902,16699,8076,6330,20009,23198,3588,2177,25581,5027,11306,971,708,8247,10065,29741,5283,*
01,Aguascalientes,000,Total de la entidad Aguascalientes,0000,Total de la Entidad,,,,1425607,728924,696683,71864,35604,36260,1352235,692561,659674,1299669,666713,632956,1116719,576593,540126,1038904,538387,500517,960764,500089,460675,78833,38679,40154,156683,77289,79394,181905,89383,92522,77815,38206,39609,78140,38298,39842,180847,90632,90215,388917,145376,78703,66673,95.58,385195,941834,97070,2.11,1133247,576781,556466,276430,144420,132010,1232234,635320,596914,56422,27956,28466,2539,1043,1496,25,13,12,2461,1012,1449,2508,22,2437,5552,    22425,    11211,    11214,71294,34507,29888,9297,12989,12726,12967,165482,49636,103289,8940,30298,6368,34556,20169,1177938,31495,15371,16124,4941,2292,2649,6812,2901,3911,55493,28286,27207,59978,31114,28864,3178,1318,1860,21908,11762,10146,25567,13286,12281,65609,33542,32067,122405,64730,57675,30347,12806,17541,288036,151759,136277,467249,240419,226830,10.35,10.32,10.38,706930,293533,413397,407903,282320,125583,692983,289268,403715,13947,4265,9682,262088,1161139,780525,92771,3786,3196,271996,1680,31789,3179,402370,593273,120740,1272419,73359,1900,74439,386445,119453,266992,1421200,395735,1025465,463972,386671,453099,375798,386011,386445,60327,16974,1421200,3.68,0.89,382634,2899,86423,299141,6390,30686,348487,384361,1210,383430,355192,2137,295903,152521,382597,1011,383148,2379,380982,184,382121,130744,876,365189,335710,238571,240381,45642,105752,312002,370411,177149,147818,359895,236003,174089,98724,70126,6021,15323,128996,1711,*
01,Aguascalientes,000,Total de la entidad Aguascalientes,9998,Localidades de una vivienda,,,,3697,1510,2187,165,81,84,3532,1429,2103,3420,1377,2043,3018,1179,1839,2836,1086,1750,2609,987,1622,169,80,89,345,170,175,427,211,216,182,93,89,227,99,128,438,180,258,750,448,190,258,144.83,861,2524,312,*,2908,1216,1692,749,275,474,2721,1298,1423,152,69,83,20,3,17,0,0,0,15,3,12,20,0,15,5,       52,       20,       32,212,110,69,18,39,38,27,418,161,226,30,75,24,95,56,3044,84,36,48,25,17,8,34,16,18,133,53,80,93,33,60,19,10,9,180,78,102,209,79,130,378,152,226,470,207,263,157,37,120,832,291,541,722,289,433,8.14,8.2,8.11,2077,506,1571,939,673,266,2060,497,1563,17,9,8,1067,2472,1090,113,4,0,1242,2,31,13,1037,1695,285,3250,223,11,195,807,123,684,3137,532,2605,1368,813,1354,799,801,807,233,322,3137,3.89,1.02,771,30,270,531,39,116,646,723,78,694,195,107,608,405,708,27,719,82,610,16,704,203,12,632,561,276,529,216,407,650,684,167,43,732,205,212,48,41,39,62,530,20,*
01,Aguascalientes,000,Total de la entidad Aguascalientes,9999,Localidades de dos viviendas,,,,3021,1013,2008,119,54,65,2902,959,1943,2829,925,1904,2553,798,1755,2444,740,1704,2341,699,1642,113,47,66,236,114,122,262,133,129,109,58,51,103,41,62,439,123,316,531,281,116,165,198.22,577,2241,203,*,2370,811,1559,616,198,418,1638,779,859,77,36,41,14,3,11,0,0,0,6,3,3,14,0,6,7,       32,       11,       21,123,67,35,7,27,13,12,290,109,159,16,53,13,62,31,2590,57,26,31,6,3,3,13,7,6,56,22,34,77,23,54,7,4,3,113,41,72,119,43,76,301,86,215,409,132,277,145,27,118,807,220,587,617,211,406,8.37,8.53,8.3,1748,363,1385,801,435,366,1741,361,1380,7,2,5,1289,1730,828,87,9,1,775,1,20,25,787,1454,312,2732,95,22,169,516,100,416,1918,385,1533,869,518,858,507,516,516,164,187,1918,3.72,1.03,499,17,175,341,27,85,404,477,39,463,136,53,361,241,455,19,459,57,418,10,445,119,8,436,377,218,343,143,241,405,466,114,37,470,146,156,35,38,25,44,330,11,*
01,Aguascalientes,001,Aguascalientes,0000,Total del Municipio,,,,948990,486917,462073,44372,21893,22479,903684,464556,439128,871193,448552,422641,756970,392252,364718,707473,368028,339445,657539,343551,313988,48767,23951,24816,97947,48353,49594,114551,56248,58303,49497,24224,25273,49934,24477,25457,120452,60159,60293,260277,102987,56724,46263,94.9,240583,639532,67941,1.98,723960,369304,354656,214908,112801,102107,821875,425161,396714,42481,21032,21449,1839,754,1085,8,4,4,1792,737,1055,1822,8,1776,4050,    15170,     7560,     7610,47525,23117,20047,5894,8636,8226,8618,116705,34873,73664,5980,21547,4413,24523,13945,777394,18639,9130,9509,2877,1360,1517,3907,1671,2236,36490,18550,17940,44885,23031,21854,1851,772,1079,11618,6599,5019,14576,7917,6659,33308,18056,15252,76256,41402,34854,19144,8184,10960,182540,95438,87102,354455,181821,172634,10.84,10.75,10.93,486675,208788,277887,269195,182985,86210,476502,205402,271100,10173,3386,6787,173199,774363,575318,65237,2352,2563,120974,1064,25703,2346,277819,391570,87312,831010,55328,1539,58531,266778,85732,181046,945505,273935,671570,313256,266942,304033,257719,266508,266778,37113,9201,945505,3.54,0.84,264662,1530,55437,210784,3185,17449,245585,265785,438,265232,254151,989,199994,122801,265261,520,265392,798,264378,53,264988,88348,380,254959,234193,176002,169694,26624,54393,221315,257061,136923,116647,251719,178619,130290,80951,56131,3299,7293,74227,731,*
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,"102°17'45.768"" W","21°52'47.362"" N",1878,863893,444725,419168,39525,19552,19973,823490,424733,398757,794449,410392,384057,691969,359863,332106,647537,338088,309449,602665,316060,286605,43660,21489,22171,87861,43381,44480,102688,50493,52195,44432,21775,22657,44872,22028,22844,109430,54565,54865,237515,95647,53157,42490,94.25,215478,584491,63046,1.95,652371,334015,318356,202249,106290,95959,749731,388905,360826,39743,19580,20163,1716,704,1012,6,4,2,1682,688,994,1701,6,1668,3776,    14472,     7223,     7249,43833,21158,18647,5317,7872,7488,7929,108760,32006,69186,5390,20043,3998,22961,12893,704718,16465,8101,8364,2525,1183,1342,3415,1467,1948,33271,16882,16389,42001,21365,20636,1609,683,926,9245,5462,3783,12055,6797,5258,27504,15421,12083,66688,36759,29929,17083,7376,9707,162823,85252,77571,336421,172498,163923,11.01,10.89,11.13,445862,193771,252091,245127,165654,79473,436364,190547,245817,9498,3224,6274,154796,707760,534594,62540,2243,2494,99627,969,23079,2191,255744,354579,81396,752938,51876,1457,55762,246116,80555,165561,862148,254402,607746,286646,246259,278009,237622,245873,246116,33043,7344,862148,3.5,0.82,244472,1098,49862,195737,2478,15101,228019,245301,300,245236,238533,363,184683,114722,245424,60,245459,111,244955,19,245364,82142,313,235833,216609,165374,156488,22727,47846,204535,237274,130384,112002,232793,169675,123670,77719,53589,2995,5984,63661,595,13
01,Aguascalientes,001,Aguascalientes,0094,Granja Adelita,"102°22'24.710"" W","21°52'18.749"" N",1902,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
01,Aguascalientes,001,Aguascalientes,0096,Agua Azul,"102°21'25.639"" W","21°53'01.522"" N",1861,41,17,24,2,2,0,39,15,24,37,15,22,33,15,18,31,14,17,30,14,16,4,0,4,2,0,2,4,1,3,2,1,1,1,0,1,8,5,3,11,3,1,2,141.18,10,28,3,1.93,38,16,22,3,1,2,37,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,39,2,0,2,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,2,1,1,0,0,0,5,1,4,8,3,5,3,1,2,8,6,2,7,3,4,8.42,9.29,7.71,19,5,14,14,10,4,19,5,14,0,0,0,6,35,23,1,0,0,11,0,0,0,14,18,1,41,0,0,0,12,2,10,41,6,35,15,12,14,11,12,12,3,0,41,3.42,0.95,12,0,3,9,0,3,9,12,0,8,1,4,5,2,9,1,2,10,1,0,2,7,0,10,10,7,4,1,5,11,11,5,2,11,4,5,2,1,0,1,6,0,1
01,Aguascalientes,001,Aguascalientes,0102,Los Arbolitos [Rancho],"102°21'26.261"" W","21°46'48.650"" N",1861,8,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
01,Aguascalientes,001,Aguascalientes,0104,Ardillas de Abajo (Las Ardillas),"102°11'30.914"" W","21°56'42.243"" N",1989,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
01,Aguascalientes,001,Aguascalientes,0106,Arellano,"102°16'26.238"" W","21°48'06.384"" N",1892,1169,556,613,53,25,28,1116,531,585,1075,511,564,933,451,482,862,422,440,794,392,402,53,25,28,130,55,75,171,71,100,71,29,42,68,30,38,150,79,71,310,95,45,50,110.25,307,803,59,2.33,986,474,512,179,81,98,1046,504,542,28,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,       14,        7,        7,26,12,12,7,5,7,6,105,34,64,15,35,11,24,17,1030,30,16,14,9,5,4,7,6,1,46,18,28,30,19,11,4,2,2,61,35,26,55,30,25,85,46,39,167,88,79,30,13,17,303,134,169,197,99,98,8.04,7.85,8.22,589,215,374,344,236,108,584,212,372,5,3,2,174,995,650,13,1,0,323,1,6,4,336,519,78,1069,45,0,55,281,69,212,1169,286,883,318,281,315,278,281,281,28,9,1169,4.16,1.02,278,3,71,210,2,35,244,281,0,280,266,1,240,83,276,2,276,5,275,0,275,102,1,256,228,166,165,31,142,248,272,69,104,259,139,114,23,17,5,14,136,2,4
01,Aguascalientes,001,Aguascalientes,0112,Bajío los Vázquez,"102°07'29.341"" W","21°44'50.978"" N",1971,41,21,20,1,0,1,40,21,19,37,19,18,30,16,14,29,16,13,27,15,12,4,2,2,6,3,3,6,2,4,1,0,1,2,1,1,2,0,2,11,6,3,3,95.24,12,24,5,3.87,28,15,13,12,6,6,35,18,17,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,10,6,7,3,2,4,3,6,3,5,0,0,0,0,1,25,2,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,3,1,2,4,1,3,6,3,3,7,6,1,2,0,2,9,5,4,1,1,0,6,6.5,5.38,17,5,12,13,11,2,17,5,12,0,0,0,31,10,0,0,0,0,10,0,0,0,11,16,3,41,0,0,0,9,1,8,41,5,36,16,9,16,9,9,9,5,2,41,4.56,1.14,9,0,1,8,0,0,9,9,0,9,0,0,6,2,8,1,8,1,8,0,7,2,0,9,7,1,6,3,3,4,9,0,0,8,0,2,0,0,0,1,9,0,1
01,Aguascalientes,001,Aguascalientes,0120,Buenavista de Peñuelas,"102°17'35.503"" W","21°43'08.930"" N",1871,1054,512,542,59,27,32,995,485,510,946,461,485,808,388,420,732,359,373,665,331,334,70,37,33,117,60,57,161,73,88,76,29,47,67,28,39,122,62,60,269,90,40,50,105.86,322,670,62,2.58,904,438,466,147,73,74,912,441,471,33,20,13,1,0,1,0,0,0,1,0,1,1,0,1,7,        3,        1,        2,57,32,27,2,13,7,2,123,53,79,7,29,7,38,13,867,36,20,16,5,1,4,14,7,7,42,18,24,18,7,11,6,2,4,47,25,22,50,23,27,59,28,31,137,64,73,15,6,9,304,161,143,140,66,74,8.05,8.1,8.01,529,206,323,278,181,97,516,202,314,13,4,9,148,905,750,5,0,0,143,0,10,0,248,457,103,966,46,0,41,255,52,203,1054,218,836,329,255,328,254,254,255,32,42,1054,4.13,1.01,251,3,67,187,8,28,218,253,1,251,239,3,209,95,251,0,230,24,228,0,230,90,0,236,216,122,151,50,118,208,244,54,24,238,74,69,14,25,5,13,166,2,4
01,Aguascalientes,001,Aguascalientes,0121,Cabecita 3 Marías (Rancho Nuevo),"102°24'46.772"" W","21°46'28.857"" N",1908,192,100,92,8,5,3,184,95,89,176,91,85,148,80,68,138,76,62,129,71,58,13,5,8,23,10,13,25,11,14,10,4,6,9,5,4,22,10,12,49,32,16,16,92,54,119,19,2.68,180,93,87,10,6,4,175,90,85,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,27,9,17,1,7,3,4,18,4,12,1,3,0,4,3,146,7,3,4,2,1,1,2,1,1,4,2,2,3,1,2,4,0,4,9,6,3,3,0,3,24,15,9,28,12,16,2,0,2,62,38,24,15,9,6,7.46,7.61,7.29,83,31,52,64,49,15,83,31,52,0,0,0,30,162,93,4,4,0,60,1,0,0,56,80,12,172,16,0,4,47,13,34,192,54,138,64,47,63,46,47,47,9,8,192,4.09,0.96,46,1,11,36,0,3,44,47,0,47,4,0,39,3,45,0,47,0,47,0,45,11,0,47,44,14,34,11,14,32,46,9,5,43,8,4,0,0,0,4,35,0,1
01,Aguascalientes,001,Aguascalientes,0125,Cañada Grande de Cotorina,"102°14'11.261"" W","21°47'02.626"" N",1981,493,262,231,39,16,23,454,246,208,435,232,203,368,202,166,329,177,152,294,156,138,25,17,8,61,27,34,81,42,39,39,25,14,35,21,14,76,45,31,148,28,15,13,88.17,164,309,20,2.2,448,241,207,42,20,22,426,227,199,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,        1,        1,        0,23,5,8,6,5,6,5,29,13,8,3,10,1,4,6,440,14,10,4,2,0,2,3,2,1,26,16,10,13,12,1,3,1,2,13,5,8,11,5,6,24,12,12,39,20,19,10,5,5,131,66,65,89,53,36,9.11,9.43,8.74,230,88,142,138,114,24,227,86,141,3,2,1,94,399,297,5,0,0,97,0,0,0,139,194,35,486,2,0,2,115,26,89,493,87,406,186,115,186,115,114,115,24,47,493,4.29,1.07,113,1,46,68,7,14,93,112,2,114,110,0,95,39,108,4,110,4,108,0,109,34,0,102,94,27,76,30,37,99,105,21,1,109,23,23,6,2,2,5,83,1,2
01,Aguascalientes,001,Aguascalientes,0126,Cañada Honda [Estación],"102°11'49.149"" W","22°00'27.915"" N",1927,536,261,275,22,9,13,514,252,262,493,240,253,408,200,208,373,182,191,342,166,176,30,15,15,76,37,39,85,40,45,35,18,17,31,16,15,59,22,37,129,52,24,28,105.36,163,335,38,2.48,473,230,243,59,30,29,478,234,244,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,18,9,8,0,6,0,1,69,35,23,4,14,1,22,2,448,11,6,5,1,1,0,0,0,0,20,10,10,24,7,17,0,0,0,13,7,6,10,6,4,39,23,16,39,20,19,17,6,11,110,53,57,149,70,79,9.62,9.37,9.86,244,92,152,164,108,56,236,91,145,8,1,7,81,450,267,104,0,0,93,1,0,0,130,231,47,499,13,0,24,136,33,103,536,108,428,182,136,181,135,136,136,33,13,536,3.94,1.01,134,2,36,100,8,14,114,134,2,135,133,1,123,15,134,0,135,1,133,0,134,46,0,120,114,67,87,15,47,116,128,56,39,117,65,60,16,19,2,10,63,0,3
01,Aguascalientes,001,Aguascalientes,0127,Los Caños,"102°28'00.707"" W","21°46'57.179"" N",1909,1225,623,602,64,33,31,1161,590,571,1128,573,555,982,503,479,911,474,437,846,444,402,49,26,23,130,61,69,158,70,88,71,29,42,65,30,35,147,77,70,314,196,102,94,96.63,314,767,144,2.6,1070,536,534,115,65,50,1103,563,540,15,5,10,1,0,1,0,0,0,1,0,1,1,0,1,0,       46,       27,       19,84,49,29,15,25,20,21,76,41,35,4,17,6,22,24,1053,16,7,9,4,3,1,9,3,6,54,26,28,30,18,12,2,1,1,35,20,15,27,13,14,164,88,76,207,101,106,38,13,25,283,160,123,159,82,77,7.63,7.69,7.58,643,266,377,338,237,101,589,262,327,54,4,50,257,965,482,28,0,0,463,0,0,0,315,528,139,1133,26,0,64,341,128,213,1225,429,796,474,341,466,333,341,341,110,23,1225,3.59,0.89,339,2,113,228,7,26,308,339,2,335,329,6,319,59,333,1,333,8,330,1,333,118,4,321,301,231,218,54,101,299,328,144,132,284,213,97,73,45,10,25,112,5,4
01,Aguascalientes,001,Aguascalientes,0128,El Cariñán,"102°22'14.606"" W","21°53'39.885"" N",1889,256,125,131,7,3,4,249,122,127,240,114,126,201,98,103,185,89,96,170,82,88,14,10,4,34,14,20,39,19,20,16,9,7,15,7,8,26,12,14,64,33,15,18,104.8,71,164,21,2.85,233,114,119,23,11,12,238,114,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,12,5,2,4,6,6,5,9,4,3,0,3,1,3,13,222,6,6,0,1,1,0,1,0,1,14,7,7,10,6,4,1,0,1,11,7,4,13,7,6,18,8,10,30,16,14,4,1,3,79,35,44,32,16,16,8.12,8.19,8.06,121,46,75,80,52,28,119,46,73,2,0,2,7,249,223,0,0,2,4,0,0,25,74,108,19,242,14,0,0,56,5,51,256,21,235,68,56,68,56,56,56,7,5,256,4.57,1.08,56,0,10,46,1,4,51,56,0,56,6,0,49,51,55,1,56,0,56,0,55,16,0,54,51,25,35,10,26,50,54,11,15,47,17,11,2,2,0,3,38,0,2
